field,fieldtype,from,fromString,to,toString,key,created,author,project
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-92,2019-07-04T12:34:45.793+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,tobiasstangl,Tobias Stangl,PAINTROID-92,2019-07-04T12:34:48.909+0200,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-92,2019-07-04T12:34:48.909+0200,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-92,2019-07-04T12:34:48.909+0200,thomasschwengler,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-92,2019-07-04T12:34:54.489+0200,thomasschwengler,PAINTROID
status,jira,10221,In Development,10007,Ready For Development,PAINTROID-92,2019-07-04T12:34:54.489+0200,thomasschwengler,PAINTROID
resolution,jira,,,10200,Won't Do,PAINTROID-92,2019-07-04T12:34:57.655+0200,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10212,Rejected,PAINTROID-92,2019-07-04T12:34:57.655+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-91,2019-05-16T15:21:09.001+0200,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-91,2019-05-17T10:27:32.016+0200,matthiasmueller,PAINTROID
status,jira,10007,Ready For Development,10006,Backlog,PAINTROID-91,2020-02-06T14:58:24.848+0100,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-90,2019-05-16T15:21:05.783+0200,thomasschwengler,PAINTROID
Attachment,jira,,,15983,landscape.jpg,PAINTROID-90,2019-05-16T15:22:23.958+0200,thomasschwengler,PAINTROID
Attachment,jira,,,15984,mockup.jpg,PAINTROID-90,2019-05-16T15:22:28.460+0200,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-90,2019-05-17T10:27:29.515+0200,matthiasmueller,PAINTROID
assignee,jira,,,kevintriebnig,Kevin Triebnig,PAINTROID-90,2019-07-30T15:10:52.964+0200,kevintriebnig,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-90,2019-07-30T15:10:52.964+0200,kevintriebnig,PAINTROID
Developer,custom,,,kevintriebnig,Kevin Triebnig,PAINTROID-90,2019-07-30T15:10:52.964+0200,kevintriebnig,PAINTROID
assignee,jira,kevintriebnig,Kevin Triebnig,,,PAINTROID-90,2019-07-30T15:11:28.260+0200,kevintriebnig,PAINTROID
status,jira,10221,In Development,10007,Ready For Development,PAINTROID-90,2019-07-30T15:11:28.260+0200,kevintriebnig,PAINTROID
description,jira,,Get in contact with UX and replace our icons with a consistent icon set.,,New svg icons now available on [https://confluence.catrob.at/display/USABILITY/Pocket+Paint+2019],PAINTROID-90,2020-02-11T16:41:23.819+0100,wslany,PAINTROID
assignee,jira,,,christophbinder,Christoph Binder,PAINTROID-90,2020-02-17T09:20:14.976+0100,christophbinder,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-90,2020-02-17T09:20:14.976+0100,christophbinder,PAINTROID
Developer,custom,kevintriebnig,Kevin Triebnig,christophbinder,Christoph Binder,PAINTROID-90,2020-02-17T09:20:14.976+0100,christophbinder,PAINTROID
assignee,jira,christophbinder,Christoph Binder,,,PAINTROID-90,2020-02-25T10:33:21.424+0100,christophbinder,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-90,2020-02-25T10:33:21.424+0100,christophbinder,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-90,2020-02-28T09:44:08.174+0100,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,christophbinder,Christoph Binder,PAINTROID-90,2020-02-28T09:44:10.964+0100,tobiasstangl,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-90,2020-02-28T09:44:10.964+0100,tobiasstangl,PAINTROID
Code Reviewer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-90,2020-02-28T09:44:10.964+0100,tobiasstangl,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-89,2019-05-16T15:21:03.269+0200,thomasschwengler,PAINTROID
Attachment,jira,,,15982,landscape.jpg,PAINTROID-89,2019-05-16T15:22:15.050+0200,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-89,2019-05-17T10:27:26.924+0200,matthiasmueller,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-89,2019-06-18T11:14:26.636+0200,tobiasstangl,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-89,2019-06-18T11:14:26.636+0200,tobiasstangl,PAINTROID
Developer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-89,2019-06-18T11:14:26.636+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-89,2019-07-05T13:51:34.931+0200,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-89,2019-07-05T13:51:34.931+0200,tobiasstangl,PAINTROID
assignee,jira,,,christophbinder,Christoph Binder,PAINTROID-89,2019-12-05T12:50:10.385+0100,tobiasstangl,PAINTROID
assignee,jira,christophbinder,Christoph Binder,,,PAINTROID-89,2020-01-09T10:16:57.186+0100,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-89,2020-01-22T12:47:01.321+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,tobiasstangl,Tobias Stangl,PAINTROID-89,2020-01-22T12:47:03.087+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-89,2020-01-22T12:47:03.087+0100,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-89,2020-01-22T12:47:03.087+0100,thomasschwengler,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-89,2020-01-22T22:07:48.409+0100,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-89,2020-01-22T22:07:48.409+0100,tobiasstangl,PAINTROID
assignee,jira,,,wslany,Wolfgang Slany,PAINTROID-89,2020-01-23T07:55:43.589+0100,wslany,PAINTROID
assignee,jira,wslany,Wolfgang Slany,,,PAINTROID-89,2020-01-23T07:56:59.180+0100,wslany,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-89,2020-01-23T07:56:59.180+0100,wslany,PAINTROID
Code Reviewer,custom,thomasschwengler,Thomas Schwengler,wslany,Wolfgang Slany,PAINTROID-89,2020-01-23T07:56:59.180+0100,wslany,PAINTROID
Code Reviewer,custom,wslany,Wolfgang Slany,thomasschwengler,Thomas Schwengler,PAINTROID-89,2020-01-23T07:57:09.186+0100,wslany,PAINTROID
assignee,jira,,,wslany,Wolfgang Slany,PAINTROID-89,2020-01-23T07:57:11.786+0100,wslany,PAINTROID
resolution,jira,,,6,Done,PAINTROID-89,2020-01-23T07:57:42.852+0100,wslany,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-89,2020-01-23T07:57:42.852+0100,wslany,PAINTROID
Code Merger,custom,,,wslany,Wolfgang Slany,PAINTROID-89,2020-01-23T07:57:42.852+0100,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-88,2019-05-16T15:20:57.833+0200,thomasschwengler,PAINTROID
Attachment,jira,,,15981,landscape.jpg,PAINTROID-88,2019-05-16T15:22:08.456+0200,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-88,2019-05-17T10:27:24.978+0200,matthiasmueller,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-88,2019-06-19T10:59:34.096+0200,tobiasstangl,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-88,2019-06-19T10:59:34.096+0200,tobiasstangl,PAINTROID
Developer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-88,2019-06-19T10:59:34.096+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-88,2019-07-05T13:51:33.308+0200,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-88,2019-07-05T13:51:33.308+0200,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-88,2020-01-22T12:49:07.750+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,tobiasstangl,Tobias Stangl,PAINTROID-88,2020-01-22T12:49:08.720+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-88,2020-01-22T12:49:08.720+0100,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-88,2020-01-22T12:49:08.720+0100,thomasschwengler,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-88,2020-01-23T12:49:39.667+0100,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-88,2020-01-23T12:49:39.667+0100,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-88,2020-02-05T16:42:00.564+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,tobiasstangl,Tobias Stangl,PAINTROID-88,2020-02-05T16:42:08.727+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-88,2020-02-05T16:42:08.727+0100,thomasschwengler,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-88,2020-02-05T16:54:47.588+0100,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-88,2020-02-05T16:54:47.588+0100,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-88,2020-02-05T17:02:45.679+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-88,2020-02-05T17:02:47.160+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-88,2020-02-05T17:02:47.160+0100,thomasschwengler,PAINTROID
assignee,jira,,,wslany,Wolfgang Slany,PAINTROID-88,2020-02-06T11:50:38.514+0100,wslany,PAINTROID
resolution,jira,,,6,Done,PAINTROID-88,2020-02-06T14:56:57.238+0100,wslany,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-88,2020-02-06T14:56:57.238+0100,wslany,PAINTROID
Code Merger,custom,,,wslany,Wolfgang Slany,PAINTROID-88,2020-02-06T14:56:57.238+0100,wslany,PAINTROID
Attachment,jira,,,15973,current_tool_shown_in_tool_bar.jpg,PAINTROID-87,2019-05-16T14:36:06.847+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-87,2019-05-16T15:21:00.690+0200,thomasschwengler,PAINTROID
Attachment,jira,,,15980,landscape.jpg,PAINTROID-87,2019-05-16T15:22:02.350+0200,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-87,2019-05-17T10:27:23.199+0200,matthiasmueller,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-87,2019-06-13T13:29:44.025+0200,tobiasstangl,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-87,2019-06-13T13:29:44.025+0200,tobiasstangl,PAINTROID
Developer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-87,2019-06-13T13:29:44.025+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-87,2019-07-05T13:51:30.838+0200,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-87,2019-07-05T13:51:30.838+0200,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-87,2019-10-09T15:22:08.421+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-87,2019-10-09T15:26:11.625+0200,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-87,2019-10-09T15:26:11.625+0200,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-87,2019-10-09T15:26:11.625+0200,thomasschwengler,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-87,2019-10-30T12:54:35.448+0100,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-87,2019-10-30T12:56:50.961+0100,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-87,2019-10-30T12:56:50.961+0100,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-87,2019-10-30T12:56:50.961+0100,matthiasmueller,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-86,2019-05-16T15:20:54.847+0200,thomasschwengler,PAINTROID
Attachment,jira,,,15979,landscape.jpg,PAINTROID-86,2019-05-16T15:21:57.022+0200,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-86,2019-05-17T10:27:21.454+0200,matthiasmueller,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-86,2019-05-29T14:01:26.901+0200,tobiasstangl,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-86,2019-05-29T14:01:26.901+0200,tobiasstangl,PAINTROID
Developer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-86,2019-05-29T14:01:26.901+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-86,2019-05-31T15:00:58.539+0200,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-86,2019-05-31T15:00:58.539+0200,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-86,2019-06-12T16:18:03.334+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-86,2019-06-25T14:18:13.507+0200,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-86,2019-07-04T12:33:53.213+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-86,2019-07-05T12:27:00.906+0200,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-86,2019-07-05T12:27:00.906+0200,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-86,2019-07-05T12:27:00.906+0200,thomasschwengler,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-86,2019-07-08T10:14:08.960+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-86,2019-07-08T11:47:22.271+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-86,2019-07-08T11:47:22.271+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-86,2019-07-08T11:47:22.271+0200,matthiasmueller,PAINTROID
Story Points,custom,,,,5,PAINTROID-85,2019-05-16T14:27:38.433+0200,thomasschwengler,PAINTROID
Attachment,jira,,,15971,tool_bar_at_bottom.jpg,PAINTROID-85,2019-05-16T14:27:48.463+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-85,2019-05-16T15:20:51.964+0200,thomasschwengler,PAINTROID
Attachment,jira,,,15978,landscape.jpg,PAINTROID-85,2019-05-16T15:21:50.545+0200,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-85,2019-05-17T10:27:18.658+0200,matthiasmueller,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-85,2019-05-22T09:19:05.953+0200,tobiasstangl,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-85,2019-05-22T09:19:05.953+0200,tobiasstangl,PAINTROID
Developer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-85,2019-05-22T09:19:05.953+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-85,2019-05-28T13:01:54.284+0200,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-85,2019-05-28T13:01:54.284+0200,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-85,2019-05-28T15:20:47.494+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,tobiasstangl,Tobias Stangl,PAINTROID-85,2019-05-28T15:20:48.823+0200,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-85,2019-05-28T15:20:48.823+0200,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-85,2019-05-28T15:20:48.823+0200,thomasschwengler,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-85,2019-05-29T12:55:25.382+0200,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-85,2019-05-29T12:55:25.382+0200,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-85,2019-05-31T09:59:41.328+0200,thomasschwengler,PAINTROID
